,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.5,-7.453579875778772,10,3,11,218.89391112327576,,,,-7.456233317793208,13,125.31318998336792
0,0.5,-7.34703704223983,10,3,7,134.32438206672668,,,,-7.3516433785249955,10,134.43960309028625
0,0.5,-7.50710356330509,10,3,10,205.07476997375488,,,,-7.507965462656362,13,137.47829008102417
0,0.5,-7.429225010799238,10,3,11,211.5562081336975,,,,-7.428848829837892,11,128.01663303375244
0,0.5,-9.956328806066741,10,4,12,327.28474593162537,,,,-9.952330309728762,12,170.20995020866394
0,0.5,-9.837853882857004,10,4,9,206.75502705574036,,,,-9.83921155361981,16,214.2444248199463
0,0.5,-9.839169728321963,10,4,9,231.47570300102234,,,,-9.849686857728237,10,142.76460003852844
0,0.5,-9.737864656758779,10,4,10,251.75812196731567,,,,-9.740435375302704,13,183.64767503738403
0,0.5,-12.38263658090747,10,5,8,234.3666000366211,,,,-12.385521890075335,15,256.5166139602661
0,0.5,-12.497158810473397,10,5,7,189.5892310142517,,,,-12.502338212027146,19,305.1972529888153
0,0.5,-11.86269704985066,10,5,9,271.7090709209442,,,,-11.881583571059132,15,262.0336880683899
0,0.5,-12.252615296477451,10,5,7,200.96221804618835,,,,-12.261014331220897,12,243.36009812355042
0,0.5,-14.36149556687083,10,6,11,405.25929498672485,,,,-14.371903291251837,14,272.1975049972534
0,0.5,-14.542386719641062,10,6,10,372.2299258708954,,,,-14.543831404202967,16,356.7464818954468
0,0.5,-14.440310434653828,10,6,8,263.093679189682,,,,-14.442332373744076,20,386.05001521110535
0,0.5,-14.739258365187617,10,6,9,321.2528820037842,,,,-14.740887357722404,15,349.24094796180725
0,0.5,-16.572679563156484,10,7,14,604.3354601860046,,,,-16.579360920514176,37,683.0092151165009
0,0.5,-16.91543432552895,10,7,15,638.1819620132446,,,,-16.91753327936251,24,560.4162080287933
0,0.5,-16.916828667579388,10,7,16,648.1218318939209,,,,-16.92010039877472,19,465.4762079715729
0,0.5,-17.433743017136468,10,7,9,372.34312295913696,,,,-17.455622711032817,13,281.9556679725647
0,0.5,-19.464271698512473,10,8,10,466.50876903533936,,,,-19.48970557938734,21,503.28153586387634
0,0.5,-19.457293291348225,10,8,9,508.8861491680145,,,,-19.459830763457497,20,619.3331189155579
0,0.5,-19.294083432562704,10,8,14,706.3791751861572,,,,-19.315746197003953,25,594.1438791751862
0,0.5,-19.420901653331917,10,8,8,396.61260986328125,,,,-19.426207355858406,21,510.60966992378235
0,0.5,-21.049397676701556,10,9,11,731.5988070964813,,,,-21.091920111612268,21,663.1829211711884
0,0.5,-21.506565862616167,10,9,10,545.2475409507751,,,,-21.53557942947885,18,465.78515791893005
0,0.5,-21.662053103188526,10,9,11,616.1421608924866,,,,-21.670509019737246,19,657.7359719276428
,,,,,,,,,,,,
