,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.6,-7.339600277705749,10,3,8,114.49899983406067,,,,-7.346749967207838,8,93.67599987983704
0,0.6,-7.451683770876047,10,3,8,137.73399996757507,,,,-7.454234193291123,8,95.56200003623962
0,0.6,-7.477111880363343,10,3,10,154.3090000152588,,,,-7.478241929051701,12,137.50300002098083
0,0.6,-7.355635696395975,10,3,10,158.34599995613098,,,,-7.3566328366109275,10,115.88099980354309
0,0.6,-9.790341954258327,10,4,12,214.65499997138977,,,,-9.792802601764578,13,178.69400000572205
0,0.6,-9.816774422013493,10,4,11,236.60400009155273,,,,-9.826582648270893,11,137.393000125885
0,0.6,-9.799351149108888,10,4,12,241.79500007629395,,,,-9.795404639771789,15,194.76799988746643
0,0.6,-9.96322218233422,10,4,9,198.33899998664856,,,,-9.964561931240063,13,197.80299997329712
0,0.6,-12.247300499264414,10,5,9,210.4449999332428,,,,-12.24883369459263,14,242.24900007247925
0,0.6,-12.050120756781489,10,5,9,182.62800002098083,,,,-12.068982416560644,15,172.73399996757507
0,0.6,-12.098986090294765,10,5,10,244.8439998626709,,,,-12.109500035348637,12,201.7810001373291
0,0.6,-12.21901728549004,10,5,10,211.00299978256226,,,,-12.2201983217719,13,214.32699990272522
0,0.6,-14.487238296274526,10,6,9,253.29800009727478,,,,-14.509553385926248,14,237.0770001411438
0,0.6,-14.39014583846311,10,6,12,388.45300006866455,,,,-14.394363474397688,15,274.6889998912811
0,0.6,-14.371182226372317,10,6,9,275.04900002479553,,,,-14.376620025704153,21,407.1619999408722
0,0.6,-14.473654214585226,10,6,10,343.9119999408722,,,,-14.48355803259141,11,254.8659999370575
0,0.6,-17.30839342759742,10,7,10,362.54699993133545,,,,-17.309993970313784,17,419.54699993133545
0,0.6,-16.843380716340285,10,7,12,434.09800004959106,,,,-16.846314573691732,20,533.2450001239777
0,0.6,-16.78385899755679,10,7,8,261.6050000190735,,,,-16.786786288435717,18,415.36500000953674
0,0.6,-16.7802951270943,10,7,10,339.94599986076355,,,,-16.782612928032535,22,482.95099997520447
0,0.6,-18.827141505839613,10,8,11,443.5420000553131,,,,-18.829577042006775,29,720.5529999732971
0,0.6,-19.003760789737235,10,8,9,333.1930000782013,,,,-19.006267015461486,20,514.3029999732971
0,0.6,-18.916974352251394,10,8,9,389.80099987983704,,,,-18.977822431655735,26,636.4609999656677
0,0.6,-19.270887484810594,10,8,8,331.55599999427795,,,,-19.27236504697713,29,788.5020000934601
0,0.6,-21.029003882245682,10,9,12,608.3590002059937,,,,-21.05768147783629,23,596.0160000324249
0,0.6,-21.61055138092318,10,9,8,365.56699991226196,,,,-21.61195612739692,24,738.2979998588562
0,0.6,-21.61055138092318,10,9,8,365.56699991226196,,,,-21.61195612739692,24,738.2979998588562
,,,,,,,,,,,,
