,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,-7.825156241044546,10,3,10,177.0124490261078,,,,-7.826137811737677,10,102.21367502212524
0,0.3,-7.7934019573364,10,3,11,159.39002919197083,,,,-7.795250596569984,13,98.31916904449463
0,0.3,-7.656519046705069,10,3,11,145.18470120429993,,,,-7.657283584583788,13,121.55937886238098
0,0.3,-7.747597514453898,10,3,11,158.7979280948639,,,,-7.748841506536593,16,108.45586705207825
0,0.3,-9.933368682999522,10,4,9,136.25158786773682,,,,-9.958755807234091,23,179.25588607788086
0,0.3,-10.545069352098256,10,4,13,226.6208851337433,,,,-10.531420862532872,11,119.90734505653381
0,0.3,-10.595512658056352,10,4,10,183.49239587783813,,,,-10.598186647160407,11,109.93885707855225
0,0.3,-10.006159140859,10,4,11,209.8146550655365,,,,-10.007505051900424,14,192.2520670890808
0,0.3,-12.722411104692325,10,5,9,182.13775491714478,,,,-12.729756945981055,16,191.92860102653503
0,0.3,-12.556136926230138,10,5,10,194.42701888084412,,,,-12.564485443215684,11,118.0442590713501
0,0.3,-12.84358837164251,10,5,9,168.3464949131012,,,,-12.84801239604407,13,158.7129180431366
0,0.3,-12.523175669417517,10,5,11,232.79379987716675,,,,-12.525925634168612,15,176.41972398757935
0,0.3,-15.357776690617305,10,6,12,284.7377939224243,,,,-15.360680350040013,17,270.34231185913086
0,0.3,-15.481441579787472,10,6,14,285.0047929286957,,,,-15.483909826390587,12,131.03573608398438
0,0.3,-14.845008373691055,10,6,11,255.4659481048584,,,,-14.859811113994237,26,278.2595398426056
0,0.3,-14.897845610459331,10,6,10,218.62430691719055,,,,-14.899082238195078,14,203.27210402488708
0,0.3,-16.83506542013375,10,7,11,302.2409589290619,,,,-16.859252658100164,21,274.8000400066376
0,0.3,-17.631007125206164,10,7,8,252.55095505714417,,,,-17.649093798488224,14,199.39250111579895
0,0.3,-17.133109896479386,10,7,10,231.51215314865112,,,,-17.14722643692416,22,232.36245203018188
0,0.3,-17.80380470500142,10,7,11,299.47882413864136,,,,-17.817211264450215,15,226.88210821151733
0,0.3,-19.716734044921193,10,8,10,359.7212779521942,,,,-19.72009203897424,15,352.41353607177734
0,0.3,-19.883322267743125,10,8,8,215.93628597259521,,,,-19.88547848874215,22,341.14425706863403
0,0.3,-19.562353880645546,10,8,11,364.1134867668152,,,,-19.573742523430443,22,390.0899341106415
0,0.3,-22.155688224535087,10,9,11,367.06033205986023,,,,-22.17837946241597,25,395.9514350891113
0,0.3,-21.623119318907307,10,9,10,364.1125569343567,,,,-21.657162227464916,23,343.3814380168915

