,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.8,-7.378759257662027,10,3,9,183.8619999885559,,,,-7.380909209801177,9,147.6529998779297
0,0.8,-7.255974024771415,10,3,9,180.88700008392334,,,,-7.257781124844278,10,170.63900017738342
0,0.8,-7.20552240092799,10,3,10,234.05800008773804,,,,-7.206052643731144,11,172.03799986839294
0,0.8,-7.345210506693803,10,3,7,136.90499997138977,,,,-7.347719130508712,14,198.6470000743866
0,0.8,-9.646953982311164,10,4,8,191.5880000591278,,,,-9.650270413196413,15,259.39800000190735
0,0.8,-9.544564127696763,10,4,13,330.38499999046326,,,,-9.556770215466724,28,408.5260000228882
0,0.8,-9.519269255200907,10,4,9,230.59599995613098,,,,-9.522210607232548,13,243.10899996757507
0,0.8,-9.79661787269127,10,4,8,216.6560001373291,,,,-9.799510928132023,13,238.739000082016
0,0.8,-10.882796982943294,10,5,40,959.5419998168945,,,,-10.604672228176893,79,957.1449999809265
0,0.8,-11.9073982811496,10,5,18,523.2160000801086,,,,-11.90843947492528,19,378.38499999046326
0,0.8,-11.81386207922385,10,5,11,332.9619998931885,,,,-11.816135804552715,12,300.4520001411438
0,0.8,-11.821050865622563,10,5,11,325.1930000782013,,,,-11.823742392909036,26,390.58399987220764
0,0.8,-14.36984172707842,10,6,9,319.74900007247925,,,,-14.378357080283134,9,260.08700013160706
0,0.8,-14.250446844336551,10,6,17,639.4539999961853,,,,-14.268087758684599,19,398.9230000972748
0,0.8,-14.297701380231189,10,6,5,153.50300002098083,,,,-14.30129602515132,21,513.1660001277924
0,0.8,-14.473803178418994,10,6,8,278.16100001335144,,,,-14.475704111206065,18,453.62400007247925
0,0.8,-16.508697893271332,10,7,13,579.5409998893738,,,,-16.511848692416365,21,603.470999956131
0,0.8,-16.655338558308202,10,7,12,519.5829999446869,,,,-16.656592266780315,21,643.8480000495911
0,0.8,-16.4893832681908,10,7,10,491.94400000572205,,,,-16.492471376426085,19,607.3389999866486
0,0.8,-18.971668728902802,10,8,10,532.3829998970032,,,,-19.00310896298297,16,492.27999997138977
0,0.8,-18.364575680797316,10,8,11,580.1210000514984,,,,-18.40994263566118,21,604.4079999923706
0,0.8,-18.60735680658504,10,8,12,705.9140000343323,,,,-18.620115688396183,24,724.0639998912811
0,0.8,-20.9292318307059,10,9,16,1005.460000038147,,,,-20.93389053556718,24,918.3589999675751
0,0.8,-20.90594545,10,9,16,1032.145200573,,,,-20.9830673654590,24,910.2740616333933
,,,,,,,,,,,,
