,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.7,-7.376340793537565,10,3,8,230.5926170349121,,,,-7.382048608351312,7,109.62558889389038
0,0.7,-7.394888165738141,10,3,8,221.6698019504547,,,,-7.39700240783012,10,190.51800394058228
0,0.7,-7.296971012342898,10,3,9,233.90209412574768,,,,-7.300944635623408,13,230.32429099082947
0,0.7,-7.1942040745536655,10,3,9,249.32344889640808,,,,-7.224410890701581,15,287.2620749473572
0,0.7,-9.826591417529716,10,4,10,342.0744390487671,,,,-9.831445254163162,9,197.50683999061584
0,0.7,-9.847512236377092,10,4,7,223.57687997817993,,,,-9.849957787379198,17,291.8600468635559
0,0.7,-9.665237997498734,10,4,8,251.39513182640076,,,,-9.666625977558516,14,279.22705698013306
0,0.7,-9.809780401491176,10,4,9,327.8807530403137,,,,-9.811018391512729,13,296.70037817955017
0,0.7,-11.898630512848744,10,5,13,560.8657701015472,,,,-11.901852642534015,16,367.5756618976593
0,0.7,-12.152859094339394,10,5,7,280.98885798454285,,,,-12.155064902991478,17,417.82830905914307
0,0.7,-11.96091538458806,10,5,10,419.8474259376526,,,,-11.961575083897868,15,384.27384305000305
0,0.7,-11.949483265112022,10,5,9,366.7424268722534,,,,-11.95155925555672,12,348.7132430076599
0,0.7,-14.325123205534302,10,6,8,403.83502888679504,,,,-14.33130359900494,15,440.7344419956207
0,0.7,-14.04891705881441,10,6,21,750.235249042511,,,,-14.051839435161652,20,579.1688268184662
0,0.7,-16.387267475437906,10,7,10,645.1347050666809,,,,-16.391366125817548,20,728.8563930988312
0,0.7,-16.815019029885512,10,7,9,545.6460690498352,,,,-16.81701116646153,20,678.290146112442
0,0.7,-16.693207024346943,10,7,10,575.9977939128876,,,,-16.69851191782754,14,593.086954832077
0,0.7,-18.438982619614237,10,8,11,884.2114179134369,,,,-18.448822609322512,32,1145.5603840351105
0,0.7,-19.31662088415517,10,8,8,601.2711451053619,,,,-19.320562983835593,18,810.8339800834656
0,0.7,-18.64860899564715,10,8,8,515.6136147975922,,,,-18.67323719783344,39,1211.9127159118652
0,0.7,-19.04082803274723,10,8,9,709.9238128662109,,,,-19.042927693429114,20,784.0620927810669
0,0.7,-21.352128240026783,10,9,13,1182.9964849948883,,,,-21.35448008601129,26,1238.9000749588013
0,0.7,-21.28214026476669,10,9,11,805.0874450206757,,,,-21.304212858066748,23,848.9898228645325
0,0.7,-21.331973252893153,10,9,12,1078.241415977478,,,,-21.356192866479127,20,833.8145577907562
0,0.7,-21.099873555805463,10,9,11,934.697548866272,,,,-21.101922445913686,29,1240.309886932373
,,,,,,,,,,,,
