,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,-8.223156276195146,5,3,7,19.098000049591064,-8.22453131045823,12,22.622999906539917
0,0.3,-7.901481509173108,5,3,14,35.13199996948242,-7.931921263765888,18,24.79699993133545
0,0.3,-7.837945732700095,5,3,10,28.814000129699707,-7.839245088567135,10,21.176000118255615
0,0.3,-8.030772659007232,5,3,8,26.611999988555908,-8.069236579145043,19,29.562999963760376
0,0.3,-10.11126511997341,5,4,8,30.990999937057495,-10.112590516514144,19,43.134000062942505
0,0.3,-10.339995997926342,5,4,10,45.47699999809265,-10.360852879046487,14,33.06699991226196
0,0.3,-9.327521019580832,5,4,10,37.77899980545044,-9.31567147823267,28,55.98799991607666
0,0.3,-10.255938866633326,5,4,10,43.85699987411499,-10.258437264376402,10,23.909000158309937
0,0.3,-13.177214373887274,5,5,9,45.543999910354614,-13.204132048850582,13,39.94200015068054
0,0.3,-12.649215397942571,5,5,8,44.003000020980835,-12.660736932566941,26,48.3510000705719
0,0.3,-10.727827943371116,5,5,20,77.1470000743866,-11.044567974222044,36,77.33399987220764
0,0.3,-12.046745477410852,5,5,14,82.73300004005432,-12.048291301543173,40,95.05999994277954
0,0.3,-14.712880881238043,5,6,11,51.86899995803833,-14.846126137859404,31,79.87199997901917
0,0.3,-14.429979153982945,5,6,20,112.45700001716614,-14.487135012816669,17,50.282999992370605
0,0.3,-15.092063530162633,5,6,10,64.46399998664856,-15.09757914613285,20,71.07699990272522
0,0.3,-14.7672658301473,5,6,8,56.36999988555908,-14.777117303077858,17,63.324000120162964
0,0.3,-17.06912814668448,5,7,12,75.36899995803833,-17.141047983790855,25,85.6010000705719
0,0.3,,5,7,164,279.7060000896454,-12.090090282777366,128,289.32400012016296
0,0.3,-15.743356432805777,5,7,183,512.6840000152588,-15.029976131485974,107,211.4579999446869
0,0.3,-17.035726214110664,5,7,7,47.27400016784668,-17.062312348406028,27,80.51399993896484
0,0.3,-19.617718209846114,5,8,13,135.760999917984,-19.60567242600478,35,158.69200015068054
0,0.3,-18.478224662746854,5,8,19,199.17300009727478,-18.45707315529885,68,301.3439998626709
0,0.3,-18.652413945218456,5,8,18,176.17500019073486,-18.62014332912357,55,259.125
0,0.3,-19.97104223183038,5,8,11,109.57299995422363,-19.975928899300932,32,144.20900011062622
,,,,,,,,,
