,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.4,-7.741963985119326,5,3,7,23.724000215530396,-7.744960289572199,12,24.50600004196167
0,0.4,-7.175949306184004,5,3,7,23.414000034332275,-7.178367159654209,22,40.085999965667725
0,0.4,-7.437106437436942,5,3,8,19.003000020980835,-6.72562406616524,42,52.60699987411499
0,0.4,-7.5628946745032355,5,3,8,25.027999877929688,-7.564917248310472,13,30.812999963760376
0,0.4,-10.3197440981277,5,4,12,53.72599983215332,-10.321237292043953,13,43.46599984169006
0,0.4,-9.817485737448326,5,4,8,35.181999921798706,-9.81900223294172,18,47.432000160217285
0,0.4,-9.950346334386765,5,4,10,50.09100008010864,-9.950693847576737,26,66.99300003051758
0,0.4,-10.354568835151015,5,4,7,25.800000190734863,-10.35684736730478,16,37.943000078201294
0,0.4,-12.25458931055209,5,5,7,36.49499988555908,-12.257057867478663,16,49.49900007247925
0,0.4,-12.078912702898048,5,5,10,53.51199984550476,-12.106850263559291,20,46.26600003242493
0,0.4,-12.948734512969999,5,5,10,53.140000104904175,-12.959873494785038,29,74.21300005912781
0,0.4,-11.957467212215674,5,5,26,134.7630000114441,-11.958892139535418,43,94.5090000629425
0,0.4,-15.255776124450126,5,6,8,53.42400002479553,-15.271796492631056,27,80.10699987411499
0,0.4,-15.385891404463354,5,6,8,50.81099987030029,-15.388728014785297,20,81.99399995803833
0,0.4,-14.603241832516527,5,6,9,77.97300004959106,-14.604281946282049,22,93.81599998474121
0,0.4,-14.384147150713627,5,6,9,74.07100009918213,-14.399914503715951,49,181.9079999923706
0,0.4,-15.817307638316763,5,7,18,156.6210000514984,-16.128298336872135,33,142.49500012397766
0,0.4,-15.860419421800113,5,7,13,114.86399984359741,-15.0593303948351,62,248.04900002479553
0,0.4,-16.892715168715956,5,7,10,91.13199996948242,-16.894970235445477,46,210.04099988937378
0,0.4,-17.73414560836722,5,7,10,111.91400003433228,-17.736097756207688,27,136.3840000629425
0,0.4,-19.171227779257627,5,8,7,98.67799997329712,-19.174520033731014,36,226.2960000038147
0,0.4,-18.365779959996953,5,8,11,112.75,-18.415571465457486,31,145.78900003433228
0,0.4,-18.015584366283736,5,8,7,91.95600008964539,-17.50602824455224,65,355.65000009536743
0,0.4,-18.78120455599061,5,8,10,119.1489999294281,-18.7879551231209,30,185.23499989509583
,,,,,,,,,
