,1.nx,2.ny,3.d,4.total iterations[MDF],5.total time[MDF],6.final_objective[MDF],7.str_count[MDF],8.5.pro_count[MDF],8.aer_count[MDF],9.obj_count[MDF],11.total iterations[IDF_tol],12.total time[IDF_tol],13.final_objective[IDF_tol],14.str_count[IDF_tol],15.aer_count[IDF_tol],16.pro_count[IDF_tol],17.obj_count[IDF_tol]
0,3,3,0.3,12,89.3578691482544,-2.661437656815593,1030,925,1030,201,16,65.29873013496399,-2.667721844213032,860,860,680,343
0,3,3,0.3,4,13.411296129226685,-2.7662256962716687,295,265,295,58,18,64.76053500175476,-2.824761928328778,930,930,735,372
0,3,3,0.3,9,47.138203859329224,-2.9352005562727044,845,740,845,198,10,30.764567852020264,-2.9366240690086527,650,650,515,256
0,3,4,0.3,11,77.45954990386963,-2.7456593739448856,1305,1145,1305,267,15,53.46169590950012,-2.749355661791049,1065,1065,805,434
0,3,4,0.3,5,28.890669107437134,-2.7483101777118892,415,355,415,101,14,40.19656682014465,-2.7722036427212235,755,755,575,305
0,3,4,0.3,156,446.1004889011383,-2.4654691129635253,5030,4430,5030,1116,156,201.32949304580688,-2.4170288333294674,3175,3175,2515,1215
,,,,,,,,,,,,,,,,,
