,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.7,-7.390743081794295,20,3,11,1061.6710000038147,,,,-7.387087727098869,11,766.3050000667572
0,0.7,-7.401393648801765,20,3,12,1200.9320001602173,,,,-7.391803588975336,11,688.2619998455048
0,0.7,-7.36925138010205,20,3,10,882.1369998455048,,,,-7.3685352487369205,12,793.0900001525879
0,0.7,-7.410804895428985,20,3,10,854.3539998531342,,,,-7.410448100176866,10,687.2969999313354
0,0.7,-9.765337436797209,20,4,8,805.7610001564026,,,,-9.767058054443096,9,707.7880001068115
0,0.7,-9.765410387082378,20,4,11,1213.601000070572,,,,-9.766289080432234,11,1001.2220001220703
0,0.7,-9.73651862901463,20,4,12,1173.6740000247955,,,,-9.725233665042666,10,633.5420000553131
0,0.7,-9.702641361931526,20,4,8,789.1100001335144,,,,-9.703951265702917,10,827.9069998264313
0,0.7,-12.078269926867108,20,5,8,955.6310000419617,,,,-12.079577748049843,11,1117.143000125885
0,0.7,-12.047843165834408,20,5,12,1342.5099999904633,,,,-12.05827032135711,10,8177.4390001297
0,0.7,-12.23871332388103,20,5,10,1197.6159999370575,,,,-12.241593587848568,11,973.728000164032
0,0.7,-12.071332388103,20,5,10,1047.23423370575,,,,-12.34343434568,11,983.3434334032
0,0.7,-14.467166023000267,20,6,10,1221.2710001468658,,,,-14.469351261337923,15,1508.7060000896454
0,0.7,-14.572510676620471,20,6,12,1494.9299998283386,,,,-14.570725487631687,14,1216.5639998912811
0,0.7,-14.813348340605167,20,6,10,1307.9530000686646,,,,-14.81673258829362,13,1187.6460001468658
0,0.7,-14.62551552996589,20,6,10,1154.4679999351501,,,,-14.627665168970527,11,1156.0029997825623
0,0.7,-16.899526860551752,20,7,9,1144.7219998836517,,,,-16.901021918677642,12,1462.4420001506805
0,0.7,-16.979409328888455,20,7,8,992.2559998035431,,,,-16.981965557132792,20,1787.5769999027252
0,0.7,-16.75340402766826,20,7,10,1417.8759999275208,,,,-16.75472877466689,17,1899.7149999141693
0,0.7,-16.7497485856067,20,7,10,1356.8759999275208,,,,-16.75090825066937,17,1825.763000011444
0,0.7,-19.27572751745842,20,8,9,1291.00200009346,,,,-19.277174121362574,16,1810.1280000209808
0,0.7,-19.369718341888458,20,8,8,1099.986999988556,,,,-19.371041773999448,15,1794.1510000228882
0,0.7,-19.034051895845373,20,8,13,2054.1369998455048,,,,-19.033449666474002,15,1673.7850000858307
0,0.7,-19.637177929461544,20,8,8,1349.6859998703003,,,,-19.639970304398098,14,1741.7580001354218
