,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,-7.72518541817035,20,3,11,441.70699977874756,,,,-7.725682325025547,13,426.8529999256134
0,0.3,-7.611277137728766,20,3,12,433.79199981689453,,,,-7.6106109125444785,18,472.0699999332428
0,0.3,-8.067998366547418,20,3,12,460.1889998912811,,,,-8.067020256290352,14,391.12399983406067
0,0.3,-7.874066205471974,20,3,11,423.82299995422363,,,,-7.872284507916548,9,296.9739999771118
0,0.3,-10.330634894060928,20,4,16,845.164999961853,,,,-10.325821124468032,13,521.135999917984
0,0.3,-10.321522646583954,20,4,14,655.1460001468658,,,,-10.317656161774483,15,544.3539998531342
0,0.3,-10.22555812727164,20,4,11,519.9880001544952,,,,-10.225793696928347,14,427.8289999961853
0,0.3,-10.636846894737019,20,4,13,617.6519999504089,,,,-10.632087405123515,13,469.7449998855591
0,0.3,-12.758059335090206,20,5,11,535.8840000629425,,,,-12.759037974982029,15,489.42599987983704
0,0.3,-12.701346705455757,20,5,12,610.0729999542236,,,,-12.699645033592388,14,448.80399990081787
0,0.3,-12.689028388340155,20,5,10,471.0149998664856,,,,-12.689304253737156,14,471.60700011253357
0,0.3,-12.644496525270105,20,5,11,565.8629999160767,,,,-12.640277374820263,15,510.78200006484985
0,0.3,-15.321045449673058,20,6,11,680.7369999885559,,,,-15.322544459908784,17,740.654000043869
0,0.3,-15.122508164548316,20,6,11,609.7070000171661,,,,-15.12451045833696,12,556.7339999675751
0,0.3,-14.95056586241919,20,6,11,615.6229999065399,,,,-14.955021474670964,25,872.5659999847412
0,0.3,-15.363727458760422,20,6,12,684.095999956131,,,,-15.366457381630672,44,1430.2599999904633
0,0.3,-17.41771751250482,20,7,10,604.0989999771118,,,,-17.424448649383773,16,605.1089999675751
0,0.3,-17.090827605583378,20,7,12,748.1280000209808,,,,-17.093572650640834,19,806.9170000553131
0,0.3,-17.613904099217955,20,7,9,513.9719998836517,,,,-17.618759366984307,13,586.654000043869
0,0.3,-17.286347134227967,20,7,11,644.1699998378754,,,,-17.289656950878637,11,575.0810000896454
0,0.3,-19.835465010180332,20,8,12,986.9160001277924,,,,-19.83750350052864,29,1307.0490000247955
0,0.3,-19.688751008045745,20,8,14,835.4700000286102,,,,-19.691777814558925,30,1113.9489998817444
0,0.3,-20.0199034735451,20,8,9,671.2230000495911,,,,-20.022021393080063,13,900.8849999904633
0,0.3,-19.83312645820235,20,8,11,825.6640000343323,,,,-19.845141092714698,12,549.6210000514984
