,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,-7.838441061168988,15,3,9,245.99223613739014,,,,-7.839669447552966,9,159.92761301994324
0,0.3,-7.530024940069321,15,3,10,321.648640871048,,,,-7.530767173019075,12,241.67810702323914
0,0.3,-7.904054642645675,15,3,9,243.99284195899963,,,,-7.904511069483236,11,202.02953600883484
0,0.3,-7.760221267871299,15,3,13,398.6487331390381,,,,-7.75904472436694,14,283.020320892334
0,0.3,-10.331360134205626,15,4,14,503.14729499816895,,,,-10.32846942755096,17,341.2348849773407
0,0.3,-10.266858258484806,15,4,13,522.0575928688049,,,,-10.26656763240276,13,422.9783639907837
0,0.3,-10.103616930966352,15,4,10,356.30182099342346,,,,-10.113312039589623,11,264.13303685188293
0,0.3,-10.132847677356697,15,4,17,603.357115983963,,,,-10.13293706368507,24,494.1444089412689
0,0.3,-12.804452941773857,15,5,10,386.98586797714233,,,,-12.806518933505751,15,384.9871211051941
0,0.3,-12.504907422981159,15,5,10,383.3657510280609,,,,-12.50783122879215,15,354.0298991203308
0,0.3,-12.76628873508856,15,5,11,427.5522081851959,,,,-12.760422605931979,9,232.6443431377411
0,0.3,-12.404502552238181,15,5,12,547.0519299507141,,,,-12.406032236471866,21,584.0824980735779
0,0.3,-15.24267041169763,15,6,10,470.32656383514404,,,,-15.245575870788944,14,401.0198919773102
0,0.3,-15.239304959154808,15,6,13,697.2391529083252,,,,-15.245738001397022,15,409.64177083969116
0,0.3,-14.650232158650233,15,6,15,607.5724809169769,,,,-14.652181870602384,27,575.9837501049042
0,0.3,-15.333713506247943,15,6,13,588.7298858165741,,,,-15.338794328938985,16,474.5370669364929
0,0.3,-17.74667672311147,15,7,13,751.8736429214478,,,,-17.757916730741453,20,570.2291951179504
0,0.3,-17.90936337322689,15,7,7,346.37569403648376,,,,-17.932834239490592,9,352.73289585113525
0,0.3,-17.27075806113738,15,7,12,639.3125829696655,,,,-17.27566815089669,17,514.6137640476227
0,0.3,-17.667960782410205,15,7,12,618.234274148941,,,,-17.67158750877688,17,515.1851758956909
0,0.3,-20.11125952005886,15,8,10,652.8459570407867,,,,-20.116589527818725,21,736.5436749458313
0,0.3,-20.072335399314095,15,8,12,820.2366321086884,,,,-20.06892224458374,11,460.51616311073303
0,0.3,-19.649104110478866,15,8,13,810.1297569274902,,,,-19.648857903944993,13,614.7877860069275
0,0.3,-19.953420937885305,15,8,10,600.5889368057251,,,,-19.96647968514707,12,447.1438739299774
,,,,,,,,,,,,
