,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.6,-7.62696715771593,15,3,10,689.0326001644135,,,,-7.628335934293266,14,711.0080189704895
0,0.6,-7.432870221837602,15,3,9,664.7576420307159,,,,-7.434495437387378,10,461.4548890590668
0,0.6,-7.4474520278281755,15,3,11,723.9547929763794,,,,-7.446712059375145,10,500.8268280029297
0,0.6,-7.4939673778546325,15,3,10,672.8470032215118,,,,-7.494644273283727,10,538.5574049949646
0,0.6,-9.83119579361649,15,4,9,714.711198091507,,,,-9.833242491988896,10,566.6671290397644
0,0.6,-9.755822937705835,15,4,11,1011.5988612174988,,,,-9.756125851501837,10,658.2313179969788
0,0.6,-9.955020219560284,15,4,8,590.4193861484528,,,,-9.958978445437843,8,385.08720993995667
0,0.6,-10.002230082667298,15,4,9,682.3399028778076,,,,-10.004254230564232,11,540.5479879379272
0,0.6,-12.131991600163346,15,5,10,951.0171098709106,,,,-12.134165917154142,12,759.5707721710205
0,0.6,-12.143975206473408,15,5,7,571.0283291339874,,,,-12.153515561462896,15,710.705445766449
0,0.6,-12.16680677223264,15,5,11,1023.9528269767761,,,,-12.168017601301061,12,848.0891180038452
0,0.6,-12.329964735126644,15,5,9,933.1916048526764,,,,-12.332371664228937,13,897.4248659610748
0,0.6,-14.362116074876917,15,6,10,1105.6127569675446,,,,-14.364653190945901,17,1391.321151971817
0,0.6,-14.497056612545357,15,6,8,871.9456658363342,,,,-14.499834382602181,16,1130.3086779117584
0,0.6,-14.375990915183621,15,6,11,631.5480000972748,,,,-14.37778831724215,12,633.2990000247955
0,0.6,-14.804018345477779,15,6,10,582.9659998416901,,,,-14.805548913633949,11,558.4939999580383
0,0.6,-16.758292517777182,15,7,10,630.6570000648499,,,,-16.76026569279226,12,667.0969998836517
0,0.6,-16.674436391394728,15,7,16,1046.358999967575,,,,-16.668271956683494,15,742.4500000476837
0,0.6,-17.071836528227827,15,7,10,1571.829721212387,,,,-17.07409128563784,16,1779.4858078956604
0,0.6,-16.978205453516942,15,7,10,1386.5536360740662,,,,-16.98002758463716,12,1340.3553609848022
0,0.6,-19.347717975772376,15,8,9,1423.2472541332245,,,,-19.348355567932792,12,1502.111680984497
0,0.6,-19.35560056102772,15,8,16,2280.874995946884,,,,-19.358680486186863,14,1502.8824110031128
0,0.6,-19.25184939517069,15,8,11,1618.3159999847412,,,,-19.254326203806954,16,845.6000001430511
0,0.6,-19.3329119935709,15,8,10,1566.539999961853,,,,-19.335673617835468,16,890.0810000896454
