,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.4,-7.648043264469434,15,3,15,605.9954421520233,,,,-7.648525913520446,24,557.6233038902283
0,0.4,-7.552810495014937,15,3,10,367.93393087387085,,,,-7.55332469423513,12,314.97085189819336
0,0.4,-7.678959884084479,15,3,11,421.8379590511322,,,,-7.6795226210994425,19,433.88001894950867
0,0.4,-7.6858815213533775,15,3,12,479.45377016067505,,,,-7.682875460756316,12,315.38106417655945
0,0.4,-10.118454588676052,15,4,10,473.936576128006,,,,-10.117050287671999,8,260.15254187583923
0,0.4,-9.948140188537735,15,4,10,438.9836950302124,,,,-9.948390231015336,11,324.0093059539795
0,0.4,-10.033392141395556,15,4,11,498.4733238220215,,,,-10.030824455614113,11,321.855899810791
0,0.4,-10.217189576934299,15,4,11,500.9795470237732,,,,-10.218551321103238,14,425.83707904815674
0,0.4,-12.543945237472549,15,5,9,429.9748868942261,,,,-12.5492538873014,10,367.00996708869934
0,0.4,-12.502721813029826,15,5,9,472.98038697242737,,,,-12.504645146557806,15,560.3673188686371
0,0.4,-12.493242842792728,15,5,9,454.9886269569397,,,,-12.498439406801499,12,337.6791760921478
0,0.4,-12.198841627979835,15,5,10,502.2888698577881,,,,-12.201022239529674,16,533.9405689239502
0,0.4,-14.603953614288798,15,6,11,734.601646900177,,,,-14.60619200988579,11,410.27045798301697
0,0.4,-14.87194895946853,15,6,10,561.1168420314789,,,,-14.87658002345363,12,469.81542801856995
0,0.4,-14.63708189603583,15,6,12,829.4258000850677,,,,-14.641220482009093,16,628.5486259460449
0,0.4,-14.52019913739892,15,6,11,623.7327809333801,,,,-14.518942457158008,9,360.2933211326599
0,0.4,-17.145074611491093,15,7,10,769.8046569824219,,,,-17.146176897841595,13,750.8709831237793
0,0.4,-17.284003982930404,15,7,9,568.3480710983276,,,,-17.28722588859423,25,871.7628519535065
0,0.4,-16.86935338237503,15,7,12,763.5912978649139,,,,-16.879008933730923,15,542.8790760040283
0,0.4,-17.307910531977903,15,7,9,620.7991721630096,,,,-17.310609394352973,16,819.7192239761353
0,0.4,-19.496668521687308,15,8,10,763.6833081245422,,,,-19.513520200317885,10,508.11893486976624
0,0.4,-19.946373965759676,15,8,10,733.260812997818,,,,-19.949146504238072,21,896.4862968921661
0,0.4,-19.406321849119863,15,8,11,780.2926170825958,,,,-19.41214354610446,16,673.5812318325043
0,0.4,-19.416421759795114,15,8,10,760.5022740364075,,,,-19.43719911157757,16,729.9958600997925
