,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF],total iterations[IDF],total time[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.4,-10.221273002677908,10,4,43,824.0290160179138,-10.221333361868908,24,432.1130380630493,-10.21982617599065,11,213.91244888305664
0,0.4,-10.269420363965676,10,4,19,586.0228700637817,-10.269479732016505,21,361.0414309501648,-10.26837402825096,12,206.29017090797424
