,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.8,-7.4459144920698,6,3,9,111.68130779266357,,,,-7.451699846514266,13,75.96781396865845
0,0.8,-7.09045239053969,6,3,21,230.00676202774048,,,,-7.1484273144823325,19,99.86116695404053
0,0.8,-7.298317538893108,6,3,6,81.39289093017578,,,,-7.309052069873647,13,74.8643651008606
0,0.8,-7.421567544280846,6,3,8,92.00715899467468,,,,-7.4320304553405645,12,66.1282000541687
0,0.8,-9.625945156375863,6,4,20,303.8372600078583,,,,-9.634341856065548,18,121.67206001281738
0,0.8,-9.631426066113718,6,4,8,138.32766103744507,,,,-9.63434494827792,14,137.11394500732422
0,0.8,-9.74230048170342,6,4,8,136.97141909599304,,,,-9.744126732577865,17,134.80373811721802
0,0.8,-9.549380472730604,6,4,7,131.39579892158508,,,,-9.551495275860995,17,144.64633107185364
0,0.8,-11.784943677788245,6,5,6,122.19776701927185,,,,-11.819455532401832,15,136.7806360721588
0,0.8,-12.084186099367237,6,5,21,437.4797320365906,,,,-12.104729323106445,20,192.43036103248596
0,0.8,-11.30998556065435,6,5,20,444.52521777153015,,,,-11.344173239052761,27,267.18257188796997
0,0.8,-11.748920002804855,6,5,7,149.09734392166138,,,,-11.752332210017821,19,190.8582420349121
0,0.8,-13.879066827988577,6,6,19,481.51129388809204,,,,-13.881814973494883,36,398.72644901275635
0,0.8,-13.94122557512974,6,6,16,470.6615459918976,,,,-13.975930704662492,26,289.9047939777374
0,0.8,-15.843319716171177,6,7,15,512.4333131313324,,,,-15.743470410506019,32,450.1500689983368
0,0.8,-17.146545833207757,6,7,8,287.47976303100586,,,,-17.147926639039895,24,372.59149408340454
0,0.8,-16.318409961290218,6,7,13,438.1235771179199,,,,-16.319855621174597,32,426.98749589920044
0,0.8,-19.279655872897884,6,8,11,507.1453239917755,,,,-19.29329433725443,29,461.6333019733429
0,0.8,-18.510283629503927,6,8,10,488.7482500076294,,,,-18.541138267495906,42,671.9882400035858
0,0.8,-18.43614083418601,6,8,11,494.02799105644226,,,,-18.5802618200368,30,652.797091960907
