,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF],total iterations[IDF],total time[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,-8.036824788314295,7,3,12,116.54581809043884,-8.036897492206757,23,112.49715805053711,-8.039434236821338,11,52.94493889808655
0,0.3,-10.646891382384943,7,4,16,195.53326797485352,-10.646968735673703,27,174.5462749004364,-10.648449442598633,14,78.77736401557922
0,0.3,-12.62049977178021,7,5,12,198.89728999137878,-12.620654495706987,35,289.82322216033936,-12.625557148019295,17,126.0773241519928
0,0.3,-15.343833607135828,7,6,15,262.9696798324585,-15.344058200599427,32,259.6993319988251,-15.346811609459639,20,166.90852308273315
0,0.3,-17.29129841862199,7,7,12,268.61611318588257,-17.29158459050268,40,417.696573972702,-17.308774297650988,27,234.04821515083313
0,0.3,-19.830599128687847,7,8,29,699.6286401748657,-19.83089366370279,51,591.5313019752502,-19.85454027841734,21,221.7674560546875
0,0.3,-23.07610486433601,7,9,15,479.08933901786804,-22.701263954164993,39,614.580992937088,-22.703015867258003,32,454.4122941493988
0,0.3,-24.166409390118066,7,10,35,954.5146579742432,-24.167162404395015,53,751.6144890785217,-24.169803819652913,38,568.1332700252533
0,0.4,-7.83190206618217,7,3,27,318.603374004364,-7.8319503594745,74,370.81182193756104,-7.8260578857898695,10,67.1612160205841
0,0.4,-10.065345142335826,7,4,19,292.1775221824646,-10.065533121740708,46,353.7864420413971,-10.063701473498163,15,134.8860218524933
0,0.4,-12.141551857981659,7,5,17,289.9524049758911,-12.264973019083655,35,285.4451220035553,-12.27093468055635,20,147.23691511154175
0,0.4,-14.56616646529857,7,6,61,989.4406719207764,-14.56654267622352,60,579.1483449935913,-14.567258732586453,35,342.95530796051025
0,0.4,-16.953908362199435,7,7,17,428.61259293556213,-16.954320668511375,61,583.702367067337,-16.973938123952593,20,212.89073014259338
0,0.4,-19.289993229472856,7,8,16,516.3222188949585,-19.283507621694447,47,527.3868749141693,-19.29051494139705,23,324.0036129951477
0,0.4,-20.654516008730074,7,9,24,834.8183209896088,-21.193223334132732,55,897.8521049022675,-21.196020963802248,40,618.9422731399536
0,0.4,-24.225189480659022,7,10,19,736.5738379955292,-24.225937694044717,80,1417.5392799377441,-24.25451776389925,42,622.7863020896912
0,0.5,-7.538314484585573,7,3,16,232.07873106002808,-7.538386688757848,24,197.10203504562378,-7.540946465728561,13,95.18117499351501
0,0.5,-9.750683160819513,7,4,31,500.97975492477417,-9.750841640501159,24,203.67303204536438,-9.751218730888418,12,118.84618997573853
0,0.5,-12.521599784825003,7,5,13,317.1783709526062,-12.521748114141776,32,399.41983008384705,-12.533950702362002,12,143.487144947052
0,0.5,-15.121172711686343,7,6,14,421.6698899269104,-15.121304722332425,28,451.30401396751404,-15.12931680668148,14,199.85275888442993
