,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF],total iterations[IDF],total time[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.5,-16.702331838561605,7,7,11,325.5694830417633,-16.702591639333143,28,481.0728180408478,-16.704728610584304,20,311.22723722457886
0,0.5,-19.373431356932443,7,8,15,642.6331899166107,-19.37363316464493,28,698.6406071186066,-19.375467486395735,20,428.9019408226013
0,0.5,-21.188733033958655,7,9,16,880.2858641147614,-21.189241807113753,59,1297.7686240673065,-21.217650980349063,34,698.0058119297028
0,0.5,-22.30076574492809,7,10,114,3450.2094480991364,-22.402435424560828,126,2787.960767030716,-22.4181656246628,71,1390.1640717983246
0,0.6,-7.591270855430795,7,3,45,584.9538388252258,-7.591320478591522,40,318.4588940143585,-7.593741545401064,16,133.04173803329468
0,0.6,-9.538341035734698,7,4,13,304.84193897247314,-9.538476707218429,30,340.6800911426544,-9.539497608511075,23,233.7167010307312
0,0.6,-11.74970575724592,7,5,15,432.98320603370667,-11.749969726936364,41,540.3401999473572,-11.757399449847856,20,251.52294087409973
0,0.6,-14.38026267019017,7,6,19,911.1839051246643,-14.380513628518884,31,578.9872629642487,-14.382394344856376,22,478.01527094841003
0,0.6,-17.042533583028582,7,7,33,1323.077514886856,-17.04273137492554,45,824.0360238552094,-17.054925934818627,18,352.1339190006256
0,0.6,-17.85101884733062,7,8,19,979.6412999629974,-18.158716452748905,79,2093.9971108436584,-18.1621087399325,21,552.9124610424042
0,0.6,-21.30513404353332,7,9,17,1435.77574300766,-21.295950303776344,71,1874.5466709136963,-21.318009211721765,40,1040.7611801624298
0,0.6,-23.02561458243341,7,10,50,3066.733976125717,-22.9508742435352,106,3673.6541378498077,-22.964236483415707,71,1952.432592868805
0,0.7,-7.604598114702892,7,3,15,366.93370604515076,-7.604657109723391,23,315.12350392341614,-7.609837715256164,10,122.63238883018494
0,0.7,-9.634991236212215,7,4,28,855.8444879055023,-9.635106309467716,35,623.923807144165,-9.63358577672952,15,277.3659291267395
0,0.7,-11.979134345881102,7,5,14,597.3241879940033,-11.981496414694567,30,579.5251259803772,-11.995255789889583,16,357.4376211166382
0,0.7,-14.665289095673426,7,6,30,1233.743952035904,-14.66507835222804,54,947.2201449871063,-14.687161325164189,15,259.79829597473145
0,0.7,-16.035319108185263,7,7,29,1910.1718201637268,-16.11055468061309,52,1241.0528500080109,-16.11610042742345,31,721.5113551616669
0,0.7,-19.20834610518682,7,8,20,1745.879842042923,-19.20863999118066,50,1401.5743720531464,-19.222840303842272,22,596.1482970714569
0,0.7,-20.406010828559253,7,9,25,1902.7302980422974,-20.406937386645748,71,2163.3179049491882,-20.416944409932086,53,1404.6840751171112
0,0.7,-23.527093007357962,7,10,18,1543.5432028770447,-23.527506577925017,56,1952.368989944458,-23.54007026001625,32,1015.9518551826477
0,0.8,-7.223389735919415,7,3,18,399.01774287223816,-7.223473490882412,29,354.8967180252075,-7.223153520333318,10,137.5365309715271
0,0.8,-9.678424253049654,7,4,14,391.040983915329,-9.678518666403988,24,375.580992937088,-9.67953619175133,16,231.4621639251709
0,0.8,-11.208170835003488,7,5,81,2372.869318008423,-11.233072279949656,45,646.8991289138794,-11.240725795277033,24,383.14387106895447
0,0.8,-14.251114045166567,7,6,27,1305.1742169857025,-14.251465291729751,55,1095.8888969421387,-14.258364062257863,24,691.4557161331177
0,0.8,-16.246601114561976,7,7,19,1248.1870350837708,-16.334019837317186,83,1968.5710158348083,-16.352370911456905,20,498.1527349948883
0,0.8,-18.77600959265016,7,8,15,1390.986675977707,-18.77643933906869,49,1692.072515964508,-18.79845235137719,26,760.7311291694641
0,0.8,-19.835243800832018,7,9,34,2888.0596840381622,-19.978423490065907,64,2311.3240489959717,-19.974750653811146,65,2512.6926639080048
0,0.8,-22.840976588624955,7,10,21,2214.7642011642456,-22.842263920860038,101,4184.758008956909,-22.871228549762673,60,2580.723202943802
,,,,,,,,,,,,
