,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF],total iterations[IDF],total time[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.4,-13.050086768358872,5,5,28,370.32375502586365,-13.050197904908147,46,307.3053960800171,-13.05991968494904,18,103.95435619354248
0,0.4,-12.219220325300356,5,5,13,158.6118941307068,-12.21946481311148,28,144.6570689678192,-12.220578094783905,21,101.78763508796692
0,0.4,-12.233965368552543,5,5,14,284.0579950809479,-12.234168917510255,33,290.9999170303345,-12.2413897588537,22,161.67816996574402
0,0.4,-13.133329588074119,5,5,10,134.86453890800476,-13.133435866419918,40,305.9394669532776,-13.140569639496157,16,92.61293005943298
0,0.4,-12.512486063592382,5,5,15,241.82808804512024,-12.512622393543063,28,185.93237900733948,-12.513598847760285,21,139.031583070755
0,0.4,-11.948448570411305,5,5,45,415.20282101631165,-11.948903628078213,68,374.37022614479065,-11.939169896649448,41,200.50511598587036
