,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF],total iterations[IDF],total time[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.4,-7.49798582760818,5,3,27,215.68818283081055,-7.498051795247418,42,148.28682398796082,-7.499985849217744,15,49.07698583602905
0,0.4,-10.109184485809035,5,4,28,213.56729388237,-10.109275756226104,36,143.76920795440674,-10.11154018502984,11,67.94447207450867
0,0.4,-12.362230045870277,5,5,10,162.52377200126648,-12.362431371422446,27,198.40899801254272,-12.364282083297033,20,113.16296100616455
0,0.4,-14.9143379804852,5,6,12,277.3014190196991,-14.9145664477393,52,396.71078395843506,-14.923767996208731,23,214.31359696388245
0,0.4,-16.854188128108586,5,7,30,833.7415630817413,-16.854891587375104,84,877.9753530025482,-16.861810502869485,38,396.45672583580017
0,0.5,-7.608997881295107,5,3,16,144.7703139781952,-7.609064919350409,19,76.30722308158875,-7.608025548462862,10,38.58025002479553
0,0.5,-10.432709903566268,5,4,12,197.94138097763062,-10.432770819742979,31,209.23922085762024,-10.439403262820965,13,68.93904495239258
0,0.5,-12.393234479368976,5,5,12,181.0468909740448,-12.39345560405492,31,220.7506980895996,-12.394472649119905,24,174.38902115821838
0,0.5,-14.256842340970527,5,6,55,880.2957651615143,-14.257080754430064,77,569.4959058761597,-14.267386940431717,23,209.60031819343567
0,0.5,-17.570864417781547,5,7,12,468.7618930339813,-17.571082947889373,33,469.1363549232483,-17.572405594125026,24,331.18137884140015
0,0.6,-7.576042197384782,5,3,14,136.66608691215515,-7.576091343923192,18,88.27868103981018,-7.57692103506445,11,45.97240686416626
0,0.6,-10.141794430235787,5,4,16,261.830992937088,-10.141874457673262,31,211.82092094421387,-10.143225868540005,21,142.05089497566223
0,0.6,-12.792702605906593,5,5,15,288.1565999984741,-12.7928159484408,58,426.93949794769287,-12.801652214113876,20,139.05696511268616
0,0.6,-14.49173400441871,5,6,29,648.1128418445587,-14.491989895131393,72,727.0349950790405,-14.497974930398911,17,173.41673398017883
0,0.6,-16.450192088926997,5,7,18,602.2245051860809,-16.450672369414594,60,561.9516599178314,-16.486539281002187,35,332.40916895866394
0,0.7,-7.372736721530634,5,3,11,179.51749992370605,-7.372788912611276,27,183.7376720905304,-7.373738621603008,17,124.95811104774475
0,0.7,-9.80558669465258,5,4,11,243.30798602104187,-9.805732397281822,27,178.90454387664795,-9.806919584033142,20,155.17645001411438
0,0.7,-11.98318735734363,5,5,12,280.80185198783875,-11.983374879399367,26,306.27409982681274,-11.985397370586991,18,201.35914516448975
0,0.7,-14.711751841206436,5,6,14,401.9445381164551,-14.711995551834818,37,362.4222741127014,-14.713014430404249,30,302.1702649593353
0,0.7,-16.630679251962903,5,7,14,1158.6526441574097,-16.631054833839727,36,725.3805868625641,-16.63205722230264,25,570.0519142150879
0,0.8,-7.455426655196206,5,3,9,130.8348970413208,-7.455492749868274,25,172.23834800720215,-7.456691737017585,15,92.67463302612305
0,0.8,-9.684358201679999,5,4,32,746.8096570968628,-9.681070864214323,43,398.16480803489685,-9.681264494657482,12,210.1802179813385
0,0.8,-12.096641211362254,5,5,17,618.6760058403015,-12.096799072143092,42,472.36725401878357,-12.108860217523302,20,225.05674004554749
0,0.8,-13.763227800218157,5,6,16,636.2488269805908,-13.76362874935827,39,796.0544140338898,-13.83365800187597,14,213.66297316551208
0,0.8,-17.233663979934068,5,7,12,579.903589963913,-17.23327067424784,29,630.7613430023193,-17.23504802785793,21,483.57142400741577
,,,,,,,,,,,,
