,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF],total iterations[IDF],total time[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.4,-7.713925703908803,5,3,11,98.35451412200928,-7.713975956113731,18,78.96390700340271,-7.714423303475192,11,45.18628787994385
0,0.4,-6.850350797147703,5,3,16,114.46352291107178,-7.7807666775217115,51,129.68844604492188,-7.782545425963548,22,60.454838037490845
0,0.4,-7.3975481122651665,5,3,15,128.46292400360107,-7.397620792364918,31,109.12410998344421,-7.395366044076669,11,42.55266880989075
0,0.4,-7.439987923076648,5,3,17,137.59270811080933,-7.440091327791502,62,166.0943500995636,-7.447596438364617,18,58.062161922454834
0,0.4,-7.8128542088301405,5,3,17,117.15203309059143,-7.812924612635396,40,113.07896590232849,-7.815446356657995,17,49.54685997962952
0,0.4,-7.631369890753677,5,3,19,143.5056869983673,-7.631475493000601,23,105.8266351222992,-7.62996069277277,12,50.87476181983948
0,0.4,-7.809425682607332,5,3,18,144.36978101730347,-7.809495495241575,31,122.81515002250671,-7.808623716914838,13,51.54721999168396
0,0.4,-7.819118909096263,5,3,13,99.4844229221344,-7.8191686434579974,26,95.33232998847961,-7.819978275036287,16,62.33635115623474
0,0.4,-7.54513892799123,5,3,13,104.57444310188293,-7.5452013201204196,20,91.44530487060547,-7.545673686179173,12,53.16211199760437
0,0.4,-7.712525083144375,5,3,20,166.9019238948822,-7.712575815697049,36,112.95640110969543,-7.715727208759041,20,46.5363450050354
0,0.5,-7.35404676138218,5,3,33,295.15881085395813,-7.3541978284522935,35,137.88774299621582,-7.355429896253687,25,86.1504020690918
0,0.5,-7.382545084303273,5,3,21,224.60812997817993,-7.382502452750404,18,73.82383179664612,-7.381941143573959,10,43.506319999694824
0,0.5,-7.2678318125394465,5,3,12,100.49936389923096,-7.267968586401594,28,105.06554579734802,-7.268857030264358,19,64.0589370727539
0,0.5,-7.699427054495905,5,3,16,190.69659900665283,-7.699498553053445,34,137.69149112701416,-7.700741100464441,17,60.36321306228638
0,0.5,-7.762189390047514,5,3,13,170.84179306030273,-7.762221988808757,34,207.57436203956604,-7.770133173441988,10,50.95860719680786
0,0.5,-7.979093111205636,5,3,14,119.96316885948181,-7.9791782697891085,39,147.84721088409424,-7.980638410721038,17,63.615005016326904
0,0.5,-7.735825694848364,5,3,28,237.84139585494995,-7.735881088562246,39,145.96999096870422,-7.7378466954465885,17,68.95257592201233
0,0.5,-7.839891210365141,5,3,13,139.86823296546936,-7.839956900809701,21,109.01061296463013,-7.8410106175532235,13,61.78880310058594
0,0.5,-7.543735313194267,5,3,18,178.0024769306183,-7.543814145970542,29,129.19136500358582,-7.545096629483661,16,70.68586993217468
0,0.5,-7.416548081204656,5,3,13,123.95034623146057,-7.416618148055813,25,108.55938696861267,-7.418052611611767,17,64.81805396080017
0,0.6,-7.528413315382543,5,3,13,161.7092640399933,-7.528477481615884,21,125.95839500427246,-7.5310384388392855,12,64.82436108589172
0,0.6,-7.398553745133466,5,3,11,140.12549710273743,-7.398648041752128,28,147.7791199684143,-7.3996451169026285,18,89.85205292701721
0,0.6,-7.914821387106774,5,3,12,182.47731184959412,-7.914868915190625,26,141.59294986724854,-7.9163373520673215,14,77.68829703330994
0,0.6,-7.245776590017893,5,3,13,253.8801519870758,-7.2458504936604164,26,210.3327670097351,-7.2472776526555425,14,100.93211317062378
0,0.6,-7.614712708633272,5,3,11,138.6291799545288,-7.614768480232024,24,131.78867888450623,-7.616669839690143,13,88.1871509552002
0,0.6,-7.369672548403587,5,3,14,166.71430897712708,-7.375997932149024,27,151.37667894363403,-7.380285683301508,12,59.91688108444214
0,0.6,-7.356198842513529,5,3,31,337.5690770149231,-7.35630257356164,60,280.481036901474,-7.356389294746307,13,69.7211549282074
0,0.6,-7.447577918383169,5,3,22,248.17256212234497,-7.447659316511051,24,105.16420292854309,-7.447565071353447,11,61.026196002960205
0,0.6,-7.613753149608296,5,3,41,348.51694202423096,-7.613805158997928,48,186.17717504501343,-7.618142846346715,15,60.724377155303955
0,0.6,-7.433070333750387,5,3,12,123.24228596687317,-7.4331399859530745,31,150.6422679424286,-7.435929776240829,11,53.201334953308105
,,,,,,,,,,,,
