,1.nx,2.ny,3.d,4.total iterations[MDF],5.total time[MDF],6.final_objective[MDF],7.str_count[MDF],8.aer_count[MDF],9.pro_count[MDF],10.total iterations[IDF_tol],11.total time[IDF_tol],12.final_objective[IDF_tol],13.str_count[IDF_tol],14.aer_count[IDF_tol],15.pro_count[IDF_tol]
0,6,6,0.3,10,245.820494890213,-2.821480936416022,1425.0,1425.0,1185.0,9,133.98631286621094,-2.8208599672293095,955,955,745
0,6,6,0.3,5,123.86614203453064,-2.957504828595195,670.0,670.0,550.0,6,99.84313702583313,-2.9586651961124812,690,690,540
0,6,6,0.3,6,107.61407518386841,-2.9458101445157294,720.0,720.0,600.0,7,100.77994680404663,-2.947134991900555,815,815,635
0,6,6,0.3,9,268.827467918396,-2.9495198830513623,1275.0,1275.0,1065.0,7,120.75603985786438,-2.9441542475455633,820,820,640
