,1.nx,2.ny,3.d,4.total iterations[MDF],5.total time[MDF],6.final_objective[MDF],7.str_count[MDF],8.aer_count[MDF],9.pro_count[MDF],10.total iterations[IDF_tol],11.total time[IDF_tol],12.final_objective[IDF_tol],13.str_count[IDF_tol],14.aer_count[IDF_tol],15.pro_count[IDF_tol]
0,4,4,0.3,7,76.46876811981201,-9.900351446844457,1785.0,1785.0,1665.0,20,47.727964878082275,-9.915046087979373,1315.0,1315.0,1075.0
0,4,4,0.3,10,91.76412200927734,-10.003219757288205,2550.0,2550.0,2390.0,18,43.216015100479126,-10.00473310781594,1425.0,1425.0,1145.0
0,4,4,0.3,9,87.81537389755249,-9.734144619290163,2065.0,2065.0,1905.0,14,31.583973169326782,-9.749812454172492,1085.0,1085.0,885.0
0,4,4,0.3,205,1399.4125859737396,-9.358798736938146,31435.0,31435.0,30815.0,186,215.43724489212036,-7.715587545051285,4505.0,4505.0,3665.0
0,4,4,0.3,11,144.87420296669006,-10.56175973649565,3745.0,3745.0,3545.0,11,25.740948915481567,-10.572807437189326,1100.0,1100.0,920.0
0,4,4,0.3,7,45.275604009628296,-10.99257039375819,1165.0,1165.0,1045.0,17,44.61067986488342,-10.993717730474813,1250.0,1250.0,990.0
0,4,4,0.3,8,34.166831970214844,-10.224542804736389,1110.0,1110.0,990.0,30,40.659241914749146,-10.227087190125047,1455.0,1455.0,1155.0
0,4,4,0.3,270,584.8768830299377,-8.283681865376273,23650.0,23650.0,23030.0,305,151.3037338256836,-7.895087667626418,5420.0,5420.0,4480.0
0,4,4,0.3,10,32.704060792922974,-10.496279993247608,1490.0,1490.0,1330.0,19,24.728585958480835,-10.509933270940998,1250.0,1250.0,990.0
0,4,4,0.3,8,48.747437953948975,-10.656226120145414,1660.0,1660.0,1540.0,16,29.12282705307007,-10.65884990267344,1245.0,1245.0,1005.0
0,4,4,0.3,11,199.79215002059937,-10.408652100497433,5605.0,5605.0,5425.0,12,28.268189907073975,-10.413918458520007,1465.0,1465.0,1265.0
0,4,4,0.3,12,167.61030793190002,-10.199536596058307,3390.0,3390.0,3210.0,22,65.38709998130798,-10.205842074323913,1625.0,1625.0,1325.0
0,4,4,0.3,11,98.28655219078064,-8.987547257895875,2565.0,2565.0,2385.0,28,51.45130801200867,-9.014259733033803,1575.0,1575.0,1275.0
