,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.8,-6.840081868663752,4,3,9,34.972999811172485,-6.862110203798494,16,35.240999937057495
0,0.8,-6.586077770538563,4,3,38,146.68600010871887,-6.564434065433142,50,94.42600011825562
0,0.8,-7.311984507898682,4,3,7,28.621999979019165,-7.316029852797396,19,43.36999988555908
0,0.8,-7.1292139383537565,4,3,11,45.69500017166138,-7.141141191164547,14,27.88599991798401
0,0.8,-9.342745273698739,4,4,43,215.10400009155273,-9.198406918632935,79,178.86500000953674
0,0.8,-9.718156757636386,4,4,7,45.83200001716614,-9.723404555010209,23,78.60800004005432
0,0.8,-9.305325252636653,4,4,14,85.00399994850159,-9.306634143575163,30,96.1470000743866
0,0.8,-9.505443624741499,4,4,8,47.710999965667725,-9.50718858880839,16,62.39100003242493
0,0.8,-13.945340647292237,4,6,15,193.4800000190735,-13.957857180121145,20,125.43799996376038
0,0.8,-12.605952164735625,4,6,36,284.9960000514984,-12.748378944882587,57,220.33100008964539
0,0.8,-14.142046863458585,4,6,9,109.46300005912781,-14.173332524255063,18,98.47599983215332
0,0.8,-14.124699655150788,4,6,26,242.59100008010864,-14.2300290376227,26,147.2130000591278
0,0.8,-16.104195856409397,4,7,55,532.0499999523163,-15.910122001939815,51,299.69400000572205
0,0.8,-16.354981867554308,4,7,12,183.8399999141693,-16.358172351746113,31,227.17799997329712
0,0.8,-14.655504236004617,4,7,38,409.17599987983704,-14.681267684484975,54,328.0149998664856
0,0.8,-16.164821315804513,4,7,14,217.13499999046326,-16.195414768469057,32,214.99799990653992
0,0.8,-18.411615429411658,4,8,20,310.2760000228882,-18.44157785290447,26,226.77099990844727
0,0.8,-16.413749595006813,4,8,56,768.7079999446869,-16.80092021303583,58,432.65499997138977
0,0.8,-20.280725011004197,4,8,8,136.72900009155273,-20.332068019281408,25,214.67400002479553
0,0.8,-18.691365301879664,4,8,13,239.58500003814697,-18.707779080258454,38,319.55599999427795
0,0.8,-21.441077463179656,4,9,39,804.1240000724792,-20.74327855146126,64,604.4609999656677
0,0.8,-18.582362063857143,4,9,19,419.14599990844727,-19.4453987941603,34,401.9319999217987
0,0.8,-19.227611858643098,4,9,52,731.4159998893738,-19.157181435134994,61,486.90199995040894
0,0.8,-18.582362063857143,4,9,19,421.2723255679019,-19.429573559223444,34,400.92299582000424
