,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.5,-7.194589008081717,4,3,9,19.638999938964844,-7.196668803154438,18,23.424000024795532
0,0.5,-7.227200703676327,4,3,10,25.640000104904175,-7.228579140371066,23,33.275999784469604
0,0.5,-7.646965931304574,4,3,9,28.130000114440918,-7.649268376144974,12,20.652999877929688
0,0.5,-7.4534325771162875,4,3,8,21.467000007629395,-7.455905710915571,12,18.645999908447266
0,0.5,-9.665088701236149,4,4,9,34.71000003814697,-9.667517185112906,19,45.407999992370605
0,0.5,-9.897878143800561,4,4,7,29.456000089645386,-9.900154182827265,20,46.03500008583069
0,0.5,-9.798254024326008,4,4,9,36.07299995422363,-9.799396256710125,21,45.25200009346008
0,0.5,-9.94826447925025,4,4,7,33.42300009727478,-9.949668714313896,20,47.873000144958496
0,0.5,-14.648382202098468,4,6,9,71.01600003242493,-14.670065057024427,18,65.22300004959106
0,0.5,-14.0010727409317,4,6,17,137.0310001373291,-13.87424212296536,32,109.72800016403198
0,0.5,-14.835462199757883,4,6,24,168.62000012397766,-14.836507180108505,29,110.43600010871887
0,0.5,-13.872783369790639,4,6,7,51.210999965667725,-13.88799165353975,29,121.59800004959106
0,0.5,-15.701399247757621,4,7,10,100.06299996376038,-15.706267576139364,31,137.55700016021729
0,0.5,-17.621517102673607,4,7,8,69.01799988746643,-17.624107303597352,23,102.00300002098083
0,0.5,-17.34115318057025,4,7,10,87.35099983215332,-17.34216875684184,33,155.99000000953674
0,0.5,-16.176212485236544,4,7,12,117.47000002861023,-16.180217710197862,41,180.87000012397766
0,0.5,-19.03589706321486,4,8,12,140.06399989128113,-19.05242169267421,42,259.260999917984
0,0.5,-19.597461831678718,4,8,10,130.33599996566772,-19.62882363863881,20,140.80299997329712
0,0.5,-19.27751244276942,4,8,9,107.93300008773804,-19.29170527884888,24,125.87100005149841
0,0.5,-19.67534302787772,4,8,10,117.08999991416931,-19.703661738070497,19,101.34100008010864
0,0.5,-21.765244663967863,4,9,8,127.30400013923645,-21.775459814417587,24,184.36700010299683
0,0.5,-22.257139344041335,4,9,9,155.11700010299683,-22.28203900471673,29,218.99499988555908
0,0.5,-20.90741426178036,4,9,16,247.07999992370605,-20.89561632276239,31,244.1930000782013
0,0.5,-20.4404523428288,4,9,16,231.9800000190735,-20.45920266307808,48,309.15199995040894
