,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,-8.09971417310708,4,3,8,17.548999786376953,-8.104876096112216,17,19.08899998664856
0,0.3,-8.129548434377229,4,3,14,31.60599994659424,-8.12642595412941,18,17.71399998664856
0,0.3,-5.5690018428551555,4,3,12,21.432999849319458,-6.841247057695342,32,25.5479998588562
0,0.3,-7.69397070879827,4,3,7,12.371999979019165,-7.696437604519236,20,20.4229998588562
0,0.3,-9.774387684058516,4,4,7,19.137999773025513,-9.778713844512605,25,34.08299994468689
0,0.3,-10.547992818739509,4,4,8,17.407999992370605,-10.5596675289528,20,20.680999994277954
0,0.3,-10.265995393921301,4,4,7,24.770999908447266,-10.26710520250265,18,34.84100008010864
0,0.3,-9.760303408242596,4,4,6,12.52999997138977,-9.787596280335098,31,36.02199983596802
0,0.3,-14.659992109040562,4,6,26,85.78500008583069,-14.680843882702163,36,71.15000009536743
0,0.3,-15.394759988254215,4,6,13,57.93599987030029,-15.440212379288779,24,57.20700001716614
0,0.3,-15.387875964250423,4,6,6,23.70299983024597,-15.389177830203815,25,51.873000144958496
0,0.3,-15.272982858635613,4,6,7,33.21399998664856,-15.297220505842262,21,45.793999910354614
0,0.3,-17.97018545413389,4,7,10,61.819000005722046,-17.97253950534068,26,70.9670000076294
0,0.3,-17.46986236926726,4,7,8,52.531999826431274,-17.48087104062946,32,87.37800002098083
0,0.3,-15.783643810091368,4,7,83,191.71799993515015,-15.536193663360343,113,129.86299991607666
0,0.3,-17.215477979777564,4,7,16,78.24200010299683,-17.180447024607034,48,121.95000004768372
0,0.3,-20.34127540559729,4,8,9,80.78400015830994,-20.342683714734846,22,103.492999792099
0,0.3,-18.580607031597392,4,8,29,178.56500005722046,-14.38459699671645,133,208.39900016784668
0,0.3,-19.58737579053242,4,8,10,67.00099992752075,-19.588974318735946,24,92.37400007247925
0,0.3,-19.391177818636127,4,8,30,227.7079999446869,-17.70314668202849,121,235.65899991989136
0,0.3,-23.456467536291356,4,9,9,93.47399997711182,-23.45870180533913,29,162.09800004959106
0,0.3,-19.985764380727026,4,9,126,339.1560001373291,-21.334913670515473,118,229.56300020217896
0,0.3,-20.444892489837585,4,9,13,137.41499996185303,-20.46554771842132,55,257.1560001373291
0,0.3,-17.812432618700345,4,9,98,359.260999917984,-19.584696275788147,124,271.75
,,,,,,,,,
