,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.4,-7.615038718456502,4,3,9,23.352999925613403,-7.620114551022215,13,18.825999975204468
0,0.4,-7.872622142581624,4,3,9,23.055999994277954,-7.875082760571875,11,16.54800009727478
0,0.4,-7.620045518393463,4,3,9,22.203999996185303,-7.622271617414859,11,16.455999851226807
0,0.4,-7.613247174755518,4,3,8,22.756999969482422,-7.59510168508805,21,30.602999925613403
0,0.4,-9.702976084088442,4,4,7,24.45800018310547,-9.705728100657906,20,35.96900010108948
0,0.4,-9.838504026306168,4,4,8,29.28500008583069,-9.840894298157435,20,36.47000002861023
0,0.4,-9.867796711985303,4,4,8,29.42799997329712,-9.880174564149565,19,29.63700008392334
0,0.4,-10.328734767199137,4,4,9,25.055999994277954,-10.332107592817556,22,30.64900016784668
0,0.4,-13.952415297079908,4,6,15,102.04299998283386,-13.971504260593404,49,139.59899997711182
0,0.4,-14.859343032073348,4,6,9,64.5329999923706,-14.862377449053216,21,76.72599983215332
0,0.4,-15.422118759986953,4,6,10,61.58500003814697,-15.423701869476663,19,71.65900015830994
0,0.4,-14.871609858618504,4,6,9,61.79299998283386,-14.877358506866361,30,98.88299989700317
0,0.4,-17.078077874381325,4,7,9,90.66999983787537,-17.079714532902386,27,129.81000018119812
0,0.4,-17.104582970053553,4,7,12,116.23000001907349,-16.222329623206356,80,219.83500003814697
0,0.4,-16.600167125897936,4,7,11,81.23099994659424,-14.91924642066071,66,193.44700002670288
0,0.4,-16.50161167508945,4,7,10,75.04500007629395,-16.516688183827103,33,110.3420000076294
0,0.4,-19.20646158013821,4,8,16,142.6340000629425,-19.2521363337109,22,112.14100003242493
0,0.4,-17.89892797183323,4,8,83,358.9390001296997,-17.856005290557377,87,260.5439999103546
0,0.4,-19.67174789117704,4,8,10,108.23299980163574,-19.673716403720924,26,137.7039999961853
0,0.4,-18.68902529109649,4,8,9,96.14600014686584,-18.77521531178527,39,163.132000207901
0,0.4,-20.81448592772753,4,9,94,462.50600004196167,-21.32353925765479,74,376.91999983787537
0,0.4,-22.71070741429304,4,9,10,122.78400015830994,-22.754373143338125,19,118.44899988174438
0,0.4,-18.960651433931247,4,9,107,601.2549998760223,-19.64537394733602,236,454.59999990463257
0,0.4,-22.18994439979802,4,9,8,124.51099991798401,-22.20012916370244,42,255.28999996185303
,,,,,,,,,
