,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.7,-7.0416532945985075,4,3,14,48.49399995803833,-7.060351055278717,16,29.98200011253357
0,0.7,-7.303629115995472,4,3,8,32.65000009536743,-7.305265331169881,17,34.93399977684021
0,0.7,-7.251737854348326,4,3,10,44.776000022888184,-7.259585115649291,19,34.00600004196167
0,0.7,-7.585582335426798,4,3,9,34.6800000667572,-7.592564266586569,10,22.341000080108643
0,0.7,-9.598698668031343,4,4,7,39.62299990653992,-9.601091809978625,25,71.01600003242493
0,0.7,-9.601637054907133,4,4,12,73.60300016403198,-9.616856953448863,16,49.39699983596802
0,0.7,-10.188655567580984,4,4,10,59.83999991416931,-10.2061967957869,14,41.51200008392334
0,0.7,-9.913347242503775,4,4,7,40.276000022888184,-9.915124297490461,16,55.432000160217285
0,0.7,-14.864173812481283,4,6,8,85.66400003433228,-14.866673836680807,18,111.59899997711182
0,0.7,-14.327542459237879,4,6,17,152.12599992752075,-14.33763624716867,21,101.67300009727478
0,0.7,-12.60078731922268,4,6,17,134.03600001335144,-13.56196593401401,21,96.25300002098083
0,0.7,-14.188829297181552,4,6,10,103.9229998588562,-14.191160329603587,50,206.91599988937378
0,0.7,-16.459407587560015,4,7,11,177.19799995422363,-16.46077076083364,26,202.4649999141693
0,0.7,-16.330782191003525,4,7,28,331.6779999732971,-16.482745344423773,41,254.6380000114441
0,0.7,-16.407805465994734,4,7,14,168.78099989891052,-16.422265182091056,28,162.52100014686584
0,0.7,-14.29305698826786,4,7,48,447.779000043869,-13.6713713043902,86,392.6470000743866
0,0.7,-19.09500832603335,4,8,9,142.02900004386902,-19.11054337121753,28,218.45700001716614
0,0.7,-17.68467381032839,4,8,43,596.8889999389648,-17.734618805437858,72,481.77500009536743
0,0.7,-18.208964979224113,4,8,26,424.8729999065399,-18.234201597031102,69,553.6570000648499
0,0.7,-18.080216573534933,4,8,9,179.9650001525879,-18.10441819333498,39,331.62800002098083
0,0.7,-20.150933232343224,4,9,15,307.59500002861023,-20.16957656190419,44,418.51799988746643
0,0.7,-20.136954114240687,4,9,18,308.69600009918213,-20.17586872857287,43,369.617999792099
0,0.7,-17.79552330531751,4,9,47,622.7990000247955,-18.08386401687797,61,480.2850000858307
0,0.7,-21.049588967749507,4,9,26,494.5570001602173,-21.065696187338773,47,425.65700006484985
