,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.6,-15.987804120039677,3,7,13,149.26753211021423,,,,-16.033004382972784,39,152.57035303115845
0,0.6,-17.04765599981595,3,7,16,309.3349919319153,,,,-17.082410071540167,36,185.0041959285736
0,0.6,-17.200503891320807,3,7,7,106.14101910591125,,,,-17.202439363882824,26,132.87182998657227
0,0.6,-15.626771463114473,3,7,6,141.6894850730896,,,,-15.62821843544684,47,289.2671458721161
0,0.6,-17.052712392208235,3,7,9,139.29706692695618,,,,-17.06039320651744,49,255.05489587783813
0,0.6,-19.179283525709884,3,8,16,280.5706298351288,,,,-19.318637590077152,44,209.68109893798828
0,0.6,-17.945774885748698,3,8,217,1387.9121618270874,,,,-17.48652264326386,83,350.6569998264313
0,0.6,-18.81618313929252,3,8,11,215.8445270061493,,,,-18.850961173621773,41,215.12707996368408
0,0.6,-19.602401503693784,3,8,17,433.42422699928284,,,,-19.61412638150736,33,254.85712599754333
0,0.6,-19.998546728174592,3,8,13,256.16804695129395,,,,-20.026139318229177,27,178.00017595291138
0,0.6,-19.549370749453647,3,9,21,659.7481641769409,,,,-20.275498481949228,59,410.2513699531555
0,0.6,-22.786608920566405,3,9,12,566.4395771026611,,,,-22.827567198203216,43,418.09237694740295
0,0.6,-20.72810568775084,3,9,13,481.9227468967438,,,,-21.137281618282877,51,570.8842689990997
0,0.6,-22.52814952341325,3,9,21,832.694657087326,,,,-22.537302074656345,34,416.47537899017334
0,0.6,-18.9320570792781,3,9,164,1353.9051189422607,,,,-19.78437940549957,86,636.5483341217041
0,0.6,-20.803963244938906,3,9,31,748.2968380451202,,,,-20.838593674589468,60,475.5930058956146
0,0.7,-7.3978354566647075,3,3,7,40.08647704124451,,,,-7.400846896995167,19,30.635321140289307
0,0.7,-7.590790576134464,3,3,7,31.167881965637207,,,,-7.604731804636,16,23.75199294090271
0,0.7,-7.425092081931335,3,3,9,41.63075399398804,,,,-7.427872187131981,22,36.7021849155426
0,0.7,-7.419035942055128,3,3,10,48.585471868515015,,,,-7.421584694101127,15,25.23791193962097
0,0.7,-7.239016099251472,3,3,10,57.890846967697144,,,,-7.245881655721882,16,27.039453983306885
0,0.7,-9.467701391836352,3,4,16,156.63789987564087,,,,-9.470006885543114,37,99.75057697296143
0,0.7,-9.751327547138448,3,4,9,99.52362704277039,,,,-9.75432897480663,24,68.86954689025879
0,0.7,-9.5531626718693,3,4,13,117.38653516769409,,,,-9.57266033736829,28,71.68741488456726
0,0.7,-9.84237935098319,3,4,10,80.23582601547241,,,,-9.846342348480727,23,59.932175159454346
0,0.7,-9.906725940826574,3,4,8,83.31134796142578,,,,-9.932176436530987,18,52.485738039016724
0,0.7,-12.084068138705945,3,5,17,251.6758270263672,,,,-12.086537161390039,25,105.6240348815918
0,0.7,-10.984338618698603,3,5,9,108.15972113609314,,,,-11.425169956844263,62,179.5940339565277
0,0.7,-11.355271195608566,3,5,33,400.97633600234985,,,,-11.38061486118219,29,110.2204179763794
0,0.7,-12.361904990765735,3,5,10,131.962012052536,,,,-12.36396588332996,23,110.01922988891602
0,0.7,-11.859208693133635,3,5,10,132.72238421440125,,,,-11.935337210649319,22,79.03129887580872
0,0.7,-14.025210500382801,3,6,10,151.98676013946533,,,,-14.174233604504414,25,114.02794981002808
0,0.7,-14.319519960750002,3,6,11,182.94428396224976,,,,-14.348299224292202,19,104.87413001060486
0,0.7,-14.411582462657744,3,6,10,185.60243701934814,,,,-13.800951731264515,42,193.44788479804993
0,0.7,-12.307568080891741,3,6,156,571.1227631568909,,,,-12.43905549744072,100,289.21658396720886
0,0.7,-14.141642701117387,3,6,10,162.34572219848633,,,,-14.147776467434493,46,233.47452092170715
0,0.7,-16.500185831891486,3,7,13,284.90288615226746,,,,-16.53095540766159,29,154.47053980827332
0,0.7,-16.42533334332615,3,7,13,246.90162897109985,,,,-16.427235126450924,33,199.72337007522583
0,0.7,-15.466905838281466,3,7,17,344.2002420425415,,,,-15.482800982895519,60,359.3358271121979
0,0.7,-17.447463960285482,3,7,7,198.67771792411804,,,,-17.459140815589173,22,203.68914008140564
0,0.7,-17.485884605089275,3,7,10,255.2248990535736,,,,-17.48770031754331,25,214.41505002975464
0,0.7,-16.36899966501245,3,8,16,450.18320417404175,,,,-16.8651189516192,42,338.0868811607361
0,0.7,-18.734943532630556,3,8,27,823.6645998954773,,,,-18.7380544344623,37,329.48740100860596
0,0.7,-16.883121906609297,3,8,17,540.0835862159729,,,,-16.982278812147012,57,425.85823678970337
0,0.7,-20.530423544834136,3,8,11,392.35537910461426,,,,-20.55492434707872,29,253.07347798347473
0,0.7,-18.810449392381727,3,8,15,480.70260310173035,,,,-18.812871012217286,26,274.0160598754883
0,0.7,-21.920272178418166,3,9,13,479.5440080165863,,,,-21.958069073808666,29,308.1087861061096
0,0.7,-21.162944219161183,3,9,11,440.510577917099,,,,-21.23201107660797,30,307.4666180610657
0,0.7,-18.331064709536236,3,9,145,2297.3594269752502,,,,-20.297124544774846,250,961.1945509910583
0,0.7,-21.58701631041962,3,9,33,1094.286082983017,,,,-21.750766261478933,73,649.7391059398651
0,0.7,-21.381430095718088,3,9,10,451.25932812690735,,,,-21.480321069375677,30,478.33290696144104
,,,,,,,,,,,,
