,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.7,-21.64597078885283,3,9,11,160.27261805534363,,,,-20.70799952307698,40,173.50912809371948
0,0.7,-18.752501170410635,3,9,18,236.98781085014343,,,,-19.281028973060437,64,350.03955817222595
0,0.7,-20.87609245728247,3,9,19,284.15171003341675,,,,-20.880602287479256,42,200.70871996879578
0,0.7,-20.58414869526763,3,9,25,296.54058289527893,,,,-18.995486645541583,104,288.3921802043915
0,0.7,-20.526170346825083,3,9,120,594.4103891849518,,,,-21.11915855884606,222,426.5091471672058
0,0.8,-4.7328443747667555,3,2,16,52.502427101135254,,,,-4.760501544075294,16,15.62031102180481
0,0.8,-4.808429977867218,3,2,7,20.81856608390808,,,,-4.81109241105335,13,15.501882076263428
0,0.8,-4.931298306023723,3,2,6,19.350223064422607,,,,-4.933173073497022,12,15.985114812850952
0,0.8,-4.881706854473905,3,2,7,23.684900999069214,,,,-4.883166036257684,18,20.65689182281494
0,0.8,-7.071437545238355,3,3,7,41.81262397766113,,,,-7.074096811537259,20,35.29375696182251
0,0.8,-7.287311488043443,3,3,7,40.6446418762207,,,,-7.290098645353772,16,30.457852840423584
0,0.8,-7.41564614051806,3,3,9,51.84071397781372,,,,-7.417771498167847,14,28.878841876983643
0,0.8,-7.316594322782833,3,3,7,33.896804094314575,,,,-7.328181325978438,18,27.483597993850708
0,0.8,-8.401640718281218,3,4,11,90.81832098960876,,,,-8.440787403719122,19,50.93415403366089
0,0.8,-10.026828529274361,3,4,6,55.98589110374451,,,,-10.028431356723118,18,57.693288803100586
0,0.8,-9.336607573203331,3,4,9,81.3939368724823,,,,-9.338866316331933,24,70.3243408203125
0,0.8,-10.004750552889353,3,4,6,47.55752491950989,,,,-10.030776298036232,12,32.48794412612915
0,0.8,-11.817347105352052,3,5,8,112.04403400421143,,,,-11.817333123017892,16,67.40000510215759
0,0.8,-11.914214322478657,3,5,8,89.69423508644104,,,,-11.935866584302413,23,68.68080401420593
0,0.8,-11.50153290573122,3,5,19,263.68475103378296,,,,-11.48881041538274,34,129.30575895309448
0,0.8,-12.78143741967912,3,5,7,87.1101930141449,,,,-12.80212583025541,28,97.19206094741821
0,0.8,-14.468137020747522,3,6,17,260.8028311729431,,,,-14.486714505300544,55,227.72737383842468
0,0.8,-14.170004324246829,3,6,13,206.06153512001038,,,,-14.229927580230344,31,123.16677498817444
0,0.8,-11.625388206366317,3,6,58,808.7128410339355,,,,-12.572588270325372,168,337.8740999698639
0,0.8,-14.263401260325734,3,6,9,202.0364158153534,,,,-14.391554279898475,30,188.76894807815552
0,0.8,-16.5023079331742,3,7,16,343.8339509963989,,,,-16.504604944294396,30,213.7698609828949
0,0.8,-17.148125562976542,3,7,8,180.43922901153564,,,,-17.149406334356225,25,188.16314911842346
0,0.8,-15.075592600202441,3,7,41,713.929573059082,,,,-15.540135382184609,48,316.4202198982239
0,0.8,-14.91289474965798,3,7,23,425.1466429233551,,,,-14.998910301496036,52,258.1624789237976
0,0.8,-18.225556362865426,3,8,21,590.0554778575897,,,,-18.353401255607658,53,451.6182658672333
0,0.8,-17.09107229944938,3,8,55,811.2746789455414,,,,-17.30728357958668,126,437.95792293548584
0,0.8,-19.311826409689616,3,8,10,291.5156831741333,,,,-19.345038045043623,23,199.9636368751526
0,0.8,-15.850284580810342,3,8,81,1746.6040649414062,,,,-15.839850570822353,84,544.6054790019989
0,0.8,-21.081145311564384,3,9,49,1590.0386309623718,,,,-21.808151260918724,66,606.8009929656982
0,0.8,-18.96379590648242,3,9,78,2218.49471116066,,,,-18.750327906131297,103,710.902606010437
0,0.8,-19.536438801972004,3,9,48,1532.671490907669,,,,-19.779749336643267,83,658.8669919967651
0,0.8,-19.536438801972004,3,9,52,1622.346374736549,,,,-19.779749336643267,83,658.8669919967651
,,,,,,,,,,,,
