,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.5,-7.975917185658711,3,3,7,24.692258834838867,,,,-7.977227957214627,16,17.6339590549469
0,0.5,-7.948282435826141,3,3,6,28.024518966674805,,,,-7.949584013702409,19,28.265992164611816
0,0.5,-7.782043013452874,3,3,12,49.675426959991455,,,,-7.7837714671856215,24,26.614206075668335
0,0.5,-7.0471811382159935,3,3,10,44.77174687385559,,,,-7.072497683290246,33,38.791526079177856
0,0.5,-10.138585604243998,3,4,7,61.34786796569824,,,,-10.141952194718852,20,48.087339878082275
0,0.5,-10.07145245640251,3,4,7,47.76376700401306,,,,-10.073066231769317,23,51.35126185417175
0,0.5,-9.646139482783212,3,4,9,68.38928580284119,,,,-9.64703586503373,34,74.2884271144867
0,0.5,-10.106432025425956,3,4,8,66.32929611206055,,,,-10.108066603948082,19,47.26395010948181
0,0.5,-12.528984890540794,3,5,11,104.9595308303833,,,,-12.538396176811766,22,68.1280300617218
0,0.5,-13.08561709774039,3,5,8,78.4267520904541,,,,-13.087783520345347,20,66.04104113578796
0,0.5,-12.11884574506846,3,5,8,80.18857192993164,,,,-12.12001733563099,23,82.55289793014526
0,0.5,-12.327434538664452,3,5,8,90.11055397987366,,,,-12.31600849181105,36,114.47188711166382
0,0.5,-14.379167114040937,3,6,11,142.091726064682,,,,-14.386732454666424,23,103.76359009742737
0,0.5,-13.368453612850267,3,6,168,802.670371055603,,,,-13.485829195291508,204,360.56228017807007
0,0.5,-11.897357776646023,3,6,352,2208.969428062439,,,,-13.02160750519835,444,442.9237868785858
0,0.5,-15.374910422192658,3,6,7,91.37242221832275,,,,-15.375704963485848,28,100.34727883338928
0,0.5,-17.374732706409823,3,7,7,118.19446015357971,,,,-17.37968112610148,66,261.2543730735779
0,0.5,-13.643808602138481,3,7,375,3563.68581199646,,,,-15.228823219989074,320,489.3214180469513
0,0.5,-16.669853193599465,3,7,32,554.9256150722504,,,,-16.70720887867033,30,147.5572121143341
0,0.5,-16.48235074723769,3,7,10,148.39650797843933,,,,-16.474662998828695,30,127.51490497589111
0,0.5,-19.302552996453734,3,8,9,187.54569602012634,,,,-19.37113488875672,26,135.94156503677368
0,0.5,-18.014835382906544,3,8,30,470.5311279296875,,,,-18.032074952745347,50,249.51531386375427
0,0.5,-19.269111437895273,3,8,12,231.6702950000763,,,,-19.27326624965375,81,415.0991539955139
0,0.5,-17.13137643182049,3,8,23,435.2618100643158,,,,-17.139783197382304,102,590.5574340820312
0,0.5,-21.261454589841765,3,9,15,439.3648519515991,,,,-21.263326065181147,47,388.5060729980469
0,0.5,-21.95560532112459,3,9,9,237.21480202674866,,,,-22.033974510488964,37,286.14496898651123
0,0.5,-20.655111111549143,3,9,15,378.000394821167,,,,-21.365592873769586,48,258.5695080757141
0,0.5,-20.124809609500673,3,9,199,2682.1527891159058,,,,-20.6548149417982,411,1028.918552160263
,,,,,,,,,,,,
