,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.6,-7.249839371142306,7,3,9,102.12795186042786,,,,-7.26027098145138,12,64.49630403518677
0,0.6,-7.383027171227513,7,3,8,102.3679850101471,,,,-7.38701918196181,11,82.88900685310364
0,0.6,-7.408442712294795,7,3,11,132.65576004981995,,,,-7.4098260190063865,10,82.9816370010376
0,0.6,-7.621566325440233,7,3,8,100.54698705673218,,,,-7.622657083635225,10,73.01300311088562
0,0.6,-9.874243283590433,7,4,6,81.27245903015137,,,,-9.879896510884802,14,122.5844841003418
0,0.6,-10.016696466278313,7,4,10,154.37642407417297,,,,-10.018018216899426,18,133.09900999069214
0,0.6,-9.801244308927224,7,4,7,102.39054203033447,,,,-9.805307870445475,13,112.97139096260071
0,0.6,-9.849566239058882,7,4,6,81.07617282867432,,,,-9.854948821108115,17,132.38420581817627
0,0.6,-12.094442195190382,7,5,8,158.95707392692566,,,,-12.096812393543065,18,195.55164909362793
0,0.6,-12.126562474851294,7,5,7,140.91294312477112,,,,-12.132323331622803,23,169.7731158733368
0,0.6,-11.90363786727086,7,5,7,154.93493390083313,,,,-11.904904007240077,19,202.9904808998108
0,0.6,-14.755712483164746,7,6,8,230.110004901886,,,,-14.75707771535409,18,263.014976978302
0,0.6,-14.299118405564295,7,6,10,258.2743308544159,,,,-14.324652175234734,18,192.38679599761963
0,0.6,-14.334919999115442,7,6,6,118.52311301231384,,,,-14.359912888221947,22,220.0690541267395
0,0.6,-14.512553612568219,7,6,8,211.5757200717926,,,,-14.537802859132379,13,163.82646203041077
0,0.6,-17.23169993305909,7,7,11,355.4892520904541,,,,-17.237231298308135,28,402.14164996147156
0,0.6,-16.588227601666784,7,7,9,285.07493019104004,,,,-16.629042875365638,21,256.8681399822235
0,0.6,-16.650512007203986,7,7,14,462.7842049598694,,,,-16.628904674643678,29,389.5762219429016
0,0.6,-16.58542504065428,7,7,14,436.530385017395,,,,-16.59582914029719,25,329.69068121910095
0,0.6,-19.17649586095267,7,8,9,371.07233715057373,,,,-19.208911195536377,18,315.75377917289734
0,0.6,-19.377209740547983,7,8,13,528.9701099395752,,,,-19.405653440983542,40,618.2679228782654
0,0.6,-18.92361133245873,7,8,9,360.9975459575653,,,,-18.967636040584892,13,248.6114959716797
0,0.6,-19.17346586645374,7,8,8,284.96011090278625,,,,-19.183351990471103,22,395.39428901672363
