,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.7,-7.234847632904905,7,3,11,154.3665099143982,,,,-7.231535182190809,9,74.03453493118286
0,0.7,-7.164335572021543,7,3,8,106.158438205719,,,,-7.165978422272207,13,95.88003897666931
0,0.7,-7.4826673666084735,7,3,7,95.6442220211029,,,,-7.484772267653025,12,89.66064095497131
0,0.7,-7.394261057352247,7,3,6,76.83398509025574,,,,-7.406366396783342,12,74.02356600761414
0,0.7,-9.297630799741073,7,4,11,189.63666486740112,,,,-9.297145539378494,15,146.90250992774963
0,0.7,-9.686906674366508,7,4,8,148.44339895248413,,,,-9.691856556793944,15,143.41451382637024
0,0.7,-9.59095154485989,7,4,9,201.4349009990692,,,,-9.594040795469828,10,119.67606520652771
0,0.7,-9.558248208717208,7,4,11,223.91492295265198,,,,-9.561533330492496,9,107.58014297485352
0,0.7,-12.101915720733361,7,5,7,167.59784507751465,,,,-12.118886848898871,13,158.04315400123596
0,0.7,-12.131376192741076,7,5,9,220.23817706108093,,,,-12.13297918021511,18,226.95412707328796
0,0.7,-11.45023324859084,7,5,19,452.01587295532227,,,,-11.458584805799408,36,368.3219130039215
0,0.7,-12.080910642793073,7,5,6,139.86948013305664,,,,-12.103979112057388,18,213.83717012405396
0,0.7,-14.112567252685157,7,6,19,537.2269561290741,,,,-14.167046080669675,28,315.7618441581726
0,0.7,-14.38588087381471,7,6,10,334.5999000072479,,,,-14.388409403293043,23,339.84783387184143
0,0.7,-14.213316444416304,7,6,11,332.93464517593384,,,,-14.216387690541145,22,322.8132679462433
0,0.7,-14.236610401392163,7,6,19,473.66814398765564,,,,-14.249233212625516,18,240.62831592559814
0,0.7,-16.183434769427947,7,7,12,529.0741810798645,,,,-16.19335236118038,44,507.5846338272095
0,0.7,-15.991352315397112,7,7,16,613.6296260356903,,,,-16.11818585453363,47,511.9882519245148
0,0.7,-16.217006932232415,7,7,11,375.3490369319916,,,,-16.220351128507286,22,394.82567286491394
0,0.7,-16.77045336174775,7,7,9,374.8200340270996,,,,-16.773520671768665,18,358.071270942688
0,0.7,-18.742408105731776,7,8,17,738.2117300033569,,,,-18.757251816113914,30,511.9314229488373
0,0.7,-18.90786663216595,7,8,13,679.5110630989075,,,,-18.940874571624768,25,458.4177951812744
0,0.7,-18.92309276468426,7,8,9,375.9395089149475,,,,-18.961524076357158,26,438.418576002121
