,1.nx,2.ny,3.d,4.total iterations[MDF],5.total time[MDF],6.final_objective[MDF],7.str_count[MDF],8.aer_count[MDF],9.pro_count[MDF],10.total iterations[IDF_tol],11.total time[IDF_tol],12.final_objective[IDF_tol],13.str_count[IDF_tol],14.aer_count[IDF_tol],15.pro_count[IDF_tol]
0,4,4,"(0.3, 0.3, 0.3, 0.3)",9,26.60699987411499,-10.159041546028885,1325.0,1325.0,1185.0,17,21.344000101089478,-10.160943449110455,1230,1230,970
0,4,4,"(0.3, 0.3, 0.3, 0.3)",8,36.39900016784668,-10.4282099270207,2050.0,2050.0,1930.0,17,18.242000102996826,-10.429829844362793,1370,1370,1110
0,4,4,"(0.3, 0.3, 0.3, 0.3)",27,145.8399999141693,-9.774214952843149,7035.0,7035.0,6815.0,68,65.20300006866455,-10.152974152557599,3565,3565,2825
0,4,4,"(0.3, 0.3, 0.3, 0.3)",8,67.04299998283386,-10.535329606023083,2880.0,2880.0,2760.0,14,21.448999881744385,-10.536809886608784,1435,1435,1195
0,4,4,"(0.3, 0.3, 0.3, 0.3)",8,49.43600010871887,-10.32364261495481,2210.0,2210.0,2110.0,14,17.060999870300293,-10.335852492659896,1175,1175,975
,,,,,,,,,,,,,,,
